,Indicador 17- Total elementos servicio,Indicador 6- Funcionamiento del COMUDE,Indicador 18- Oficinas municipales con instrumentos de gestiÃ³n,Indicador 20- Ingresos per capita,Indicador 24- EjecuciÃ³n plan operativo,3) Indice de Informacion a Ciudadania,ranking,Indicador 28- Acciones de Ordenamiento Territorial,Indicador 19- Independencia financiera,Indicador 7- Existencia de reglamento interno,Indicador 10- Presentacion informacion ejecucion presupuestaria anual,7) Indice de Gestion Estrategica,indice_gestion,Indicador 27- Presupuesto destinado a DEL_ Servicios PÃºblicos y GestiÃ³n Ambiental,Indicador 29- AnÃ¡lisis de riesgo en inversiÃ³n pÃºblica,8) Indice de Municipio Saludable,Indicador 4- Asistencia del Alcalde al total de reuniones del COMUDE,5) Indice de Gestion Administrativa,Indicador 13- Monto asignado Guatecompras como porcentaje de egresos (SOLO TRANSFERENCIAS DE CAPITAL),municipio,Indicador 22- InversiÃ³n con ingreso s propios,Indicador 15- Calidad y cobertura recolecciÃ³n de basura en el municipio,2) Indice de Participacion,Indicador 12- Porcentaje de informacion publica de oficio disponible,departamento,6) Indice de Gestion Financiera,Indicador 21- InversiÃ³n con transferencias,Indicador 25- Posicionamiento estratÃ©gico del Plan de Desarrollo,Indicador 23- Deuda en el total de ingresos,Indicador 5- Representacion territorial del COMUDE,Indicador 1- Reuniones ordinarias del COMUDE,Indicador 16- GestiÃ³n de mercados y rastros,Indicador 2- Asistencia Concejales designados y concejal de salud (MSALUDABLE),Indicador 3- RepresentaciÃ³n de grupos de mujeres_ jÃ³venes e indÃ­genas,1) Indice de Gestion 2012,Indicador 14- Calidad y cobertura de agua en el municipio,Indicador 11- InformaciÃ³n disponible medios diversos,Indicador 8- Total temas tratados,Indicador 9- Numero de rendiciones de cuentas trimestrales en el aÃ±o y foco en resultados,Indicador 26- Proyectos plan de desarrollo municipal,4) Indice de Servicios
207,1,0,0.5,43.8475,1,0.123,279,0,0.0872,0,0,0.4933,0.2485,0.1935,1,0.122,0,0.3214,0.4151,Sanarate,0,0,0,0.2,El Progreso,0.3038,0.4389,0.3788,0.9095,0,0,0.25,0,0,0.2485,0.4982,0,0,0,0.0844,0.2494
208,1,0,0.825,281.5038,0.1,0.1262,294,0,0.1927,0,0,0.3058,0.2274,0.0674,1,0.0447,0,0.4839,0.3311,San Antonio La Paz,0.001,0.0545,0,0.3,El Progreso,0.3557,0.4386,0.439,0.8951,0,0,0,0,0,0.2274,0.1946,0,0,0,0.0497,0.0928
2101,1,0.2444,0.25,81.02,0.4,0.4335,193,0.25,0.3237,0,0,0.322,0.3306,0.2026,1,0.1488,0.5385,0.1964,0.6673,Jalapa,0.2071,0,0.4816,0.5,Jalapa,0.4449,0.5518,0.0028,0.9335,0,12,0.125,0.4231,0,0.3306,0.191,1,7,0,0.0016,0.1053
2102,0,0,0,24.909,0,0.44,311,0,0.0842,0,0,0.1833,0.1886,0,1,0.0227,1,0,1,San Pedro Pinula,0.0006,0,0.109,0.2,Jalapa,0.3991,0.7998,0,1,0,1,0,0,0,0.1886,0,1,2,0,0,0
2103,2,0.1444,0.225,108.7102,1,0.3136,204,0,0.1542,0,0,0.47,0.3223,0.1203,1,0.1697,0.7143,0.2554,0.4182,San Luis Jilotepeque,0.7949,0,0.2434,0.15,Jalapa,0.6095,0.7562,0.2938,1,0,6,0.125,0,0,0.3223,0,1,2,0,0.1283,0.0417
2104,2,0.1,0.175,45.6582,1,0.3533,211,0,0.0267,0,0,0.5047,0.3159,0.1171,1,0.2366,0.875,0.2304,0.6167,San Manuel Chaparron,0,0,0.4122,0.15,Jalapa,0.3533,0.6448,0.5308,1,0.5486,7,0.125,0.875,0,0.3159,0,1,5,0,0.0842,0.0417
2105,1,0,0.2,55.9269,0.5714,0.3618,275,0,0.0595,0,0,0.3553,0.2513,0.1116,1,0.1222,1,0.1714,0.5591,San Carlos Alzatate,0.0989,0.125,0.1931,0.25,Jalapa,0.2953,0.693,0.1481,0.4851,0,3,0,0,0,0.2513,0.1998,1,5,0,0.0873,0.1307
2106,2,0,0.225,123.6563,1,0.1328,271,0,0.1394,0,0,0.4702,0.2567,0.0109,1,0.0399,1,0.2554,0.2142,Monjas,0.2419,0,0.2873,0.45,Jalapa,0.3528,0.6174,0.4654,0.5464,0.3736,6,0.125,0,0,0.2567,0,0,2,0,0.0867,0.0417
2107,0,0,0.125,51.8335,0,0.2756,315,0,0.0495,0,0,0.2088,0.1772,0.0831,1,0.0579,0,0.0625,0.1281,Mataquescuintla,0.0546,0,0,0.25,Jalapa,0.3945,0.7423,0.0411,1,0,0,0,0,0,0.1772,0.3656,1,0,0,0,0.1218
2201,1,0,0,93.5497,0.6279,0.51,231,0,0.371,0,0,0.4602,0.2935,0.0658,1,0.0421,1,0.0714,1,Jutiapa,0.4078,0,0.2005,0.55,Jutiapa,0.4325,0.4411,0.7341,0.6835,0.5,1,0,0,0.5,0.2935,0.2597,1,0,0,0.0711,0.0865
